name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chennai,2025-04-20,94.9,84.3,88.1,113.2,95.7,102,78.2,73.3,0.016,100,12.5,rain,0,,19.7,19,171.5,1006.8,20.6,9.6,316.7,27.4,10,100,2025-04-20T05:53:27,2025-04-20T18:22:23,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with strong storms possible.,rain,"VOMM,remote"
Chennai,2025-04-21,90.8,82.5,86.1,100.2,91.9,95.8,76.1,73.1,0.004,0,4.17,rain,0,,18.8,17,157.4,1008.4,61.4,15,302.8,26.1,10,100,2025-04-21T05:52:55,2025-04-21T18:22:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-04-22,91.1,80.9,85.6,99.7,87,94.2,75.2,72,0,0,0,rain,0,,17.2,17.7,161.3,1009.1,68.8,15,318.3,27.5,10,75,2025-04-22T05:52:23,2025-04-22T18:22:39,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-04-23,92,81.6,86.3,100.2,89.2,95.2,75.3,71.2,0,0,0,,0,,23,19.9,172,1007.8,31.2,15,319.8,27.7,10,100,2025-04-23T05:51:52,2025-04-23T18:22:47,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Chennai,2025-04-24,93.3,82.7,86.8,103.5,91.9,97.9,77,73.9,0,0,0,,0,,24.4,20.6,171.7,1005.9,78.2,15,307.2,26.6,10,100,2025-04-24T05:51:22,2025-04-24T18:22:56,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-04-25,92.2,83.6,86.9,102.9,93.1,98.5,77.2,73.7,0.004,0,4.17,rain,0,,25.3,18.6,169.6,1005.8,72.3,15,315.5,27.3,10,100,2025-04-25T05:50:52,2025-04-25T18:23:05,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-04-26,92.7,82.8,86.8,100.8,92.3,96.6,75.7,70.8,0.004,0,4.17,rain,0,,25.3,19.9,169.8,1005.9,27.1,15,321.3,27.3,10,100,2025-04-26T05:50:22,2025-04-26T18:23:15,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-04-27,91.5,82.5,86.4,99,91.4,95.8,75.6,71.3,0.004,0,4.17,rain,0,,24.6,18.1,168.6,1007.1,33.6,15,320,27.3,10,100,2025-04-27T05:49:54,2025-04-27T18:23:25,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Chennai,2025-04-28,90.4,80.7,85.7,97.8,86.9,94.1,74.9,71.2,0.004,3.2,4.17,rain,0,,22.4,18.6,171.4,1006.8,81.2,15,293.3,25.5,9,100,2025-04-28T05:49:26,2025-04-28T18:23:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-04-29,91.5,81.4,86.1,100.2,88.6,95.6,75.9,72.7,0.004,6.5,4.17,rain,0,,21.5,18.1,170.4,1006,46.1,15,312.4,27,10,100,2025-04-29T05:48:58,2025-04-29T18:23:45,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-04-30,91.5,82.8,86.4,102.8,92,97.8,77.3,74.9,0,0,0,,0,,22.8,19.9,168.6,1005.6,39,15,311.9,27,10,100,2025-04-30T05:48:32,2025-04-30T18:23:56,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Chennai,2025-05-01,91.3,83.4,86.7,102.7,93.7,98.3,77.3,74.2,0,3.2,0,rain,0,,24.6,20.6,165.6,1006.1,38.7,15,308.6,26.7,9,100,2025-05-01T05:48:06,2025-05-01T18:24:07,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-05-02,91.7,83.6,86.9,102.7,93.7,98.3,77.1,73.3,0,3.2,0,,0,,24.8,21.5,167.2,1006,55.1,15,313.4,27.3,10,100,2025-05-02T05:47:41,2025-05-02T18:24:19,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-05-03,90.9,83.4,86.4,101.7,93.1,97.6,77,74.2,0.004,6.5,4.17,rain,0,,23.5,20.1,165.2,1006.6,52.9,15,309.5,26.4,10,100,2025-05-03T05:47:17,2025-05-03T18:24:30,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,2025-05-04,90.8,82.8,86.2,100.6,89.4,96.1,76,72.2,0,6.5,0,rain,0,,23.7,21,170.2,1006.5,64.6,15,301.6,26.2,9,100,2025-05-04T05:46:53,2025-05-04T18:24:43,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Chennai,2025-05-05,95.8,81.8,87.7,0,0,109.1,76.6,71.1,0.126,0,0,,,,,13.4,171.3,1007.6,46.9,4,,,,,2025-05-05T05:46:30,2025-05-05T18:24:55,0.25,Partially cloudy,,partly-cloudy-day,
